#,Name,Tag,Accepted rate,LeetcodeID,Leetcode Link,Desc
1,Remove Vowels from a String,['String'],91.20%,1119,https://leetcode.com/problems/remove-vowels-from-a-string/description,"Given a string `s`, remove the vowels `'a'`, `'e'`, `'i'`, `'o'`, and `'u'` from it, and return the new string.
 
 
 Example 1:
 Input: s = ""leetcodeisacommunityforcoders""
 Output: ""ltcdscmmntyfrcdrs""
 
 Example 2:
 Input: s = ""aeiou""
 Output: """"
 
 Constraints:
 `1 <= s.length <= 1000`
 `s` consists of only lowercase English letters."
2,Defanging an IP Address,['String'],89.40%,1108,https://leetcode.com/problems/defanging-an-ip-address/description,"Given a valid (IPv4) IP `address`, return a defanged version of that IP address.
 
 A defanged IP address replaces every period `"".""` with `""[.]""`.
 
 
 Example 1:
 Input: address = ""1.1.1.1""
 Output: ""1[.]1[.]1[.]1""
 
 Example 2:
 Input: address = ""255.100.50.0""
 Output: ""255[.]100[.]50[.]0""
 
 Constraints:
 The given `address` is a valid IPv4 address."
3,Number of Good Pairs,"['Array', 'Hash Table', 'Math', '1+']",89.30%,1512,https://leetcode.com/problems/number-of-good-pairs/description,"Given an array of integers `nums`.
 
 A pair `(i,j)` is called good if `nums[i]` == `nums[j]` and `i` < `j`.
 
 Return the number of good pairs.
 
 
 Example 1:
 Input: nums = [1,2,3,1,1,3]
 Output: 4
 Explanation: There are 4 good pairs (0,3), (0,4), (3,4), (2,5) 0-indexed.
 
 
 Example 2:
 Input: nums = [1,1,1,1]
 Output: 6
 Explanation: Each pair in the array are good.
 
 
 Example 3:
 Input: nums = [1,2,3]
 Output: 0
 
 Constraints:
 `1 <= nums.length <= 100`
 `1 <= nums[i] <= 100`"
4,Shuffle the Array,['Array'],0.887,1470,https://leetcode.com/problems/shuffle-the-array/description,"Given the array `nums` consisting of `2n` elements in the form `[x1,x2,...,xn,y1,y2,...,yn]`.
 
 Return the array in the form `[x1,y1,x2,y2,...,xn,yn]`.
 
 
 Example 1:
 Input: nums = [2,5,1,3,4,7], n = 3
 Output: [2,3,5,4,1,7] 
 Explanation: Since x1=2, x2=5, x3=1, y1=3, y2=4, y3=7 then the answer is [2,3,5,4,1,7].
 
 
 Example 2:
 Input: nums = [1,2,3,4,4,3,2,1], n = 4
 Output: [1,4,2,3,3,2,4,1]
 
 Example 3:
 Input: nums = [1,1,2,2], n = 2
 Output: [1,2,1,2]
 
 Constraints:
 `1 <= n <= 500`
 `nums.length == 2n`
 `1 <= nums[i] <= 10^3`"
5,Richest Customer Wealth,"['Array', 'Matrix']",0.883,1672,https://leetcode.com/problems/richest-customer-wealth/description,"You are given an `m x n` integer grid `accounts` where `accounts[i][j]` is the amount of money the `i​​​​​​​​​​​th​​​​` customer has in the `j​​​​​​​​​​​th`​​​​ bank. Return the wealth that the richest customer has.
 
 A customer's wealth is the amount of money they have in all their bank accounts. The richest customer is the customer that has the maximum wealth.
 
 
 Example 1:
 Input: accounts = [[1,2,3],[3,2,1]]
 Output: 6
 Explanation:
 `1st customer has wealth = 1 + 2 + 3 = 6
 ``2nd customer has wealth = 3 + 2 + 1 = 6
 `Both customers are considered the richest with a wealth of 6 each, so return 6.
 
 
 Example 2:
 Input: accounts = [[1,5],[7,3],[3,5]]
 Output: 10
 Explanation: 
 1st customer has wealth = 6
 2nd customer has wealth = 10 
 3rd customer has wealth = 8
 The 2nd customer is the richest with a wealth of 10.
 
 
 Example 3:
 Input: accounts = [[2,8,7],[7,1,3],[1,9,5]]
 Output: 17
 
 Constraints:
 `m == accounts.length`
 `n == accounts[i].length`
 `1 <= m, n <= 50`
 `1 <= accounts[i][j] <= 100`"
6,Count the Number of Consistent Strings,"['Array', 'Hash Table', 'String', '2+']",88.10%,1684,https://leetcode.com/problems/count-the-number-of-consistent-strings/description,"You are given a string `allowed` consisting of distinct characters and an array of strings `words`. A string is consistent if all characters in the string appear in the string `allowed`.
 
 Return the number of consistent strings in the array `words`.
 
 
 Example 1:
 Input: allowed = ""ab"", words = [""ad"",""bd"",""aaab"",""baa"",""badab""]
 Output: 2
 Explanation: Strings ""aaab"" and ""baa"" are consistent since they only contain characters 'a' and 'b'.
 
 
 Example 2:
 Input: allowed = ""abc"", words = [""a"",""b"",""c"",""ab"",""ac"",""bc"",""abc""]
 Output: 7
 Explanation: All strings are consistent.
 
 
 Example 3:
 Input: allowed = ""cad"", words = [""cc"",""acd"",""b"",""ba"",""bac"",""bad"",""ac"",""d""]
 Output: 4
 Explanation: Strings ""cc"", ""acd"", ""ac"", and ""d"" are consistent.
 
 
 Constraints:
 `1 <= words.length <= 104`
 `1 <= allowed.length <= 26`
 `1 <= words[i].length <= 10`
 The characters in `allowed` are distinct.
 
 `words[i]` and `allowed` contain only lowercase English letters."
7,Kids With the Greatest Number of Candies,['Array'],87.80%,1431,https://leetcode.com/problems/kids-with-the-greatest-number-of-candies/description,"Given the array `candies` and the integer `extraCandies`, where `candies[i]` represents the number of candies that the ith kid has.
 
 For each kid check if there is a way to distribute `extraCandies` among the kids such that he or she can have the greatest number of candies among them. Notice that multiple kids can have the greatest number of candies.
 
 
 Example 1:
 Input: candies = [2,3,5,1,3], extraCandies = 3
 Output: [true,true,true,false,true] 
 Explanation: 
 Kid 1 has 2 candies and if he or she receives all extra candies (3) will have 5 candies --- the greatest number of candies among the kids. 
 Kid 2 has 3 candies and if he or she receives at least 2 extra candies will have the greatest number of candies among the kids. 
 Kid 3 has 5 candies and this is already the greatest number of candies among the kids. 
 Kid 4 has 1 candy and even if he or she receives all extra candies will only have 4 candies. 
 Kid 5 has 3 candies and if he or she receives at least 2 extra candies will have the greatest number of candies among the kids. 
 
 Example 2:
 Input: candies = [4,2,1,1,2], extraCandies = 1
 Output: [true,false,false,false,false] 
 Explanation: There is only 1 extra candy, therefore only kid 1 will have the greatest number of candies among the kids regardless of who takes the extra candy.
 
 
 Example 3:
 Input: candies = [12,1,12], extraCandies = 10
 Output: [true,false,true]
 
 Constraints:
 `2 <= candies.length <= 100`
 `1 <= candies[i] <= 100`
 `1 <= extraCandies <= 50`"
8,Goal Parser Interpretation,['String'],87.50%,1678,https://leetcode.com/problems/goal-parser-interpretation/description,"You own a Goal Parser that can interpret a string `command`. The `command` consists of an alphabet of `""G""`, `""()""` and/or `""(al)""` in some order. The Goal Parser will interpret `""G""` as the string `""G""`, `""()""` as the string `""o""`, and `""(al)""` as the string `""al""`. The interpreted strings are then concatenated in the original order.
 
 Given the string `command`, return the Goal Parser's interpretation of `command`.
 
 
 Example 1:
 Input: command = ""G()(al)""
 Output: ""Goal""
 Explanation: The Goal Parser interprets the command as follows:
 G -> G
 () -> o
 (al) -> al
 The final concatenated result is ""Goal"".
 
 
 Example 2:
 Input: command = ""G()()()()(al)""
 Output: ""Gooooal""
 
 Example 3:
 Input: command = ""(al)G(al)()()G""
 Output: ""alGalooG""
 
 Constraints:
 `1 <= command.length <= 100`
 `command` consists of `""G""`, `""()""`, and/or `""(al)""` in some order."
9,How Many Numbers Are Smaller Than the Current Number,"['Array', 'Hash Table', 'Sorting', '1+']",87.00%,1365,https://leetcode.com/problems/how-many-numbers-are-smaller-than-the-current-number/description,"Given the array `nums`, for each `nums[i]` find out how many numbers in the array are smaller than it. That is, for each `nums[i]` you have to count the number of valid `j's` such that `j != i` and `nums[j] < nums[i]`.
 
 Return the answer in an array.
 
 
 Example 1:
 Input: nums = [8,1,2,2,3]
 Output: [4,0,1,1,3]
 Explanation: 
 For nums[0]=8 there exist four smaller numbers than it (1, 2, 2 and 3). 
 For nums[1]=1 does not exist any smaller number than it.
 
 For nums[2]=2 there exist one smaller number than it (1). 
 For nums[3]=2 there exist one smaller number than it (1). 
 For nums[4]=3 there exist three smaller numbers than it (1, 2 and 2).
 
 
 Example 2:
 Input: nums = [6,5,4,8]
 Output: [2,1,0,3]
 
 Example 3:
 Input: nums = [7,7,7,7]
 Output: [0,0,0,0]
 
 Constraints:
 `2 <= nums.length <= 500`
 `0 <= nums[i] <= 100`"
10,Running Sum of 1d Array,"['Array', 'Prefix Sum']",86.90%,1480,https://leetcode.com/problems/running-sum-of-1d-array/description,"Given an array `nums`. We define a running sum of an array as `runningSum[i] = sum(nums[0]...nums[i])`.
 
 Return the running sum of `nums`.
 
 
 Example 1:
 Input: nums = [1,2,3,4]
 Output: [1,3,6,10]
 Explanation: Running sum is obtained as follows: [1, 1+2, 1+2+3, 1+2+3+4].
 
 
 Example 2:
 Input: nums = [1,1,1,1,1]
 Output: [1,2,3,4,5]
 Explanation: Running sum is obtained as follows: [1, 1+1, 1+1+1, 1+1+1+1, 1+1+1+1+1].
 
 
 Example 3:
 Input: nums = [3,1,2,10,1]
 Output: [3,4,6,16,17]
 
 Constraints:
 `1 <= nums.length <= 1000`
 `-10^6 <= nums[i] <= 10^6`"
